GazePointX	GazePointY	RecordingTimestamp	Duration
659.4	441.93332	48	282
604.6	755.3	367	182
649.6667	512.3333	666	43
657.0	515.8	746	182
508.83334	492.66666	965	103
318.8	464.6	1125	82
331.0	479.0	1244	83
483.375	706.25	1364	142
646.625	275.0	1563	143
994.3333	579.3333	1862	43
1005.5	581.75	1942	63
699.6667	1060.3334	2161	43
693.3333	1072.3334	2241	43
612.3333	977.3333	2440	43
13.666667	1501.0	2679	43
597.6667	983.6667	3158	43
600.3333	978.3333	3238	42
779.0769	474.53845	3357	242
1959.8572	535.0	3756	122
19
