RecordingTimestamp	GazePointIndex	GazePointXLeft	GazePointYLeft	CamX(L)	CamY(L)	DistanceLeft	Pupil(L)	Validity(L)	GazePointXRight	GazePointYRight	CamX(R)	CamY(R)	DistanceRight	Pupil(R)	Validity(R)	Fixation	GazePointX	GazePointY	Event	EventKey	Data 1	Data 2	Description
5	1	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	 	 	 	 	 	 	 	 
25	2	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	 	 	 	 	 	 	 	 
45	3	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	 	 	 	 	 	 	 	 
65	4	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	 	 	 	 	 	 	 	 
85	5	-1280	-1024	0.698	0.259	-1.000	-1.000	4	-1280	-1024	0.402	0.256	-1.000	-1.000	4	 	 	 	 	 	 	 	 
105	6	-1280	-1024	0.403	0.256	-1.000	-1.000	4	645	295	0.403	0.256	581.066	4.319	0	 	 	 	 	 	 	 	 
125	7	651	216	0.698	0.258	566.813	4.722	0	664	260	0.403	0.255	581.066	4.350	0	1	654	211	 	 	 	 	 
145	8	648	210	0.699	0.257	566.813	4.699	0	652	249	0.403	0.255	581.066	4.305	0	1	654	211	 	 	 	 	 
165	9	646	195	0.699	0.257	566.813	4.706	0	661	239	0.403	0.255	581.066	4.314	0	1	654	211	 	 	 	 	 
185	10	644	193	0.699	0.257	564.894	4.678	0	667	224	0.404	0.255	577.937	4.295	0	1	654	211	 	 	 	 	 
205	11	652	200	0.699	0.256	564.894	4.682	0	659	238	0.404	0.254	577.937	4.324	0	1	654	211	 	 	 	 	 
225	12	649	201	0.699	0.256	564.894	4.656	0	652	236	0.404	0.254	577.937	4.299	0	1	654	211	 	 	 	 	 
245	13	651	192	0.699	0.255	564.894	4.660	0	663	224	0.404	0.253	577.937	4.307	0	1	654	211	 	 	 	 	 
265	14	644	201	0.700	0.255	564.894	4.659	0	658	220	0.404	0.253	577.937	4.339	0	1	654	211	 	 	 	 	 
284	15	643	200	0.700	0.254	564.465	4.642	0	656	235	0.404	0.252	571.827	4.286	0	1	654	211	 	 	 	 	 
304	16	652	206	0.700	0.253	564.465	4.678	0	650	212	0.405	0.252	571.827	4.285	0	1	654	211	 	 	 	 	 
324	17	657	197	0.700	0.252	564.465	4.687	0	653	216	0.405	0.250	571.827	4.294	0	1	654	211	 	 	 	 	 
344	18	655	208	0.700	0.251	564.465	4.652	0	660	208	0.405	0.249	571.827	4.288	0	1	654	211	 	 	 	 	 
364	19	656	209	0.700	0.249	564.465	4.678	0	655	199	0.405	0.247	571.827	4.324	0	1	654	211	 	 	 	 	 
384	20	658	208	0.699	0.247	564.643	4.675	0	658	206	0.404	0.245	569.704	4.315	0	1	654	211	 	 	 	 	 
404	21	655	215	0.699	0.244	564.643	4.683	0	655	199	0.404	0.242	569.704	4.289	0	1	654	211	 	 	 	 	 
424	22	658	189	0.698	0.241	564.643	4.718	0	660	202	0.404	0.239	569.704	4.314	0	1	654	211	 	 	 	 	 
444	23	656	210	0.698	0.238	564.643	4.675	0	659	212	0.403	0.236	569.704	4.335	0	1	654	211	 	 	 	 	 
464	24	656	213	0.698	0.235	564.643	4.654	0	662	214	0.403	0.233	569.704	4.279	0	1	654	211	 	 	 	 	 
484	25	656	203	0.698	0.232	565.059	4.661	0	665	227	0.403	0.230	567.375	4.278	0	1	654	211	 	 	 	 	 
504	26	647	212	0.697	0.229	565.059	4.721	0	658	200	0.403	0.227	567.374	4.336	0	1	654	211	 	 	 	 	 
524	27	651	219	0.697	0.226	565.059	4.696	0	655	206	0.402	0.224	567.374	4.330	0	1	654	211	 	 	 	 	 
544	28	648	214	0.697	0.223	565.059	4.736	0	658	215	0.402	0.220	567.374	4.312	0	1	654	211	 	 	 	 	 
563	29	655	208	0.696	0.220	565.059	4.693	0	656	210	0.402	0.217	567.374	4.301	0	1	654	211	 	 	 	 	 
