RecordingTimestamp	GazePointIndex	GazePointXLeft	GazePointYLeft	CamX(L)	CamY(L)	DistanceLeft	Pupil(L)	Validity(L)	GazePointXRight	GazePointYRight	CamX(R)	CamY(R)	DistanceRight	Pupil(R)	Validity(R)	Fixation	GazePointX	GazePointY	Event	EventKey	Data 1	Data 2	Description
9	1	634	565	0.639	0.303	665.480	5.738	0	609	591	0.318	0.301	663.681	5.344	0	1	619	576	 	 	 	 	 
29	2	631	576	0.639	0.303	665.480	5.702	0	607	593	0.318	0.301	663.681	5.327	0	1	619	576	 	 	 	 	 
49	3	625	568	0.639	0.304	667.494	5.701	0	607	594	0.318	0.301	663.477	5.329	0	1	619	576	 	 	 	 	 
69	4	636	567	0.640	0.304	667.494	5.763	0	618	584	0.318	0.301	663.477	5.317	0	1	619	576	 	 	 	 	 
89	5	637	572	0.640	0.304	667.494	5.742	0	604	588	0.318	0.301	663.477	5.333	0	1	619	576	 	 	 	 	 
109	6	634	563	0.640	0.304	667.494	5.726	0	611	592	0.318	0.301	663.477	5.337	0	1	619	576	 	 	 	 	 
129	7	627	555	0.640	0.304	667.494	5.739	0	610	590	0.318	0.301	663.477	5.332	0	1	619	576	 	 	 	 	 
149	8	627	558	0.640	0.304	665.419	5.705	0	604	594	0.318	0.301	663.243	5.341	0	1	619	576	 	 	 	 	 
169	9	638	575	0.640	0.304	665.419	5.709	0	605	583	0.318	0.301	663.243	5.307	0	1	619	576	 	 	 	 	 
188	10	626	563	0.640	0.304	665.419	5.709	0	613	588	0.318	0.301	663.243	5.285	0	1	619	576	 	 	 	 	 
208	11	641	580	0.640	0.304	665.419	5.711	0	610	590	0.318	0.301	663.243	5.323	0	1	619	576	 	 	 	 	 
228	12	621	560	0.640	0.303	665.419	5.715	0	609	572	0.318	0.300	663.243	5.308	0	1	619	576	 	 	 	 	 
248	13	616	552	0.640	0.302	668.360	5.740	0	613	569	0.319	0.299	666.150	5.329	0	1	619	576	 	 	 	 	 
268	14	580	446	0.640	0.301	668.359	5.741	0	566	456	0.319	0.299	666.150	5.283	0	2	571	441	 	 	 	 	 
288	15	571	447	0.640	0.301	668.359	5.672	0	563	457	0.319	0.299	666.150	5.246	0	2	571	441	 	 	 	 	 
