RecordingTimestamp	GazePointIndex	GazePointXLeft	GazePointYLeft	CamX(L)	CamY(L)	DistanceLeft	Pupil(L)	Validity(L)	GazePointXRight	GazePointYRight	CamX(R)	CamY(R)	DistanceRight	Pupil(R)	Validity(R)	Fixation	GazePointX	GazePointY	Event	EventKey	Data 1	Data 2	Description
14	1	630	577	0.663	0.420	599.612	4.570	0	619	588	0.368	0.445	604.148	4.526	0	1	625	579	 	 	 	 	 
34	2	628	568	0.663	0.420	601.391	4.533	0	613	588	0.368	0.445	605.519	4.549	0	1	625	579	 	 	 	 	 
54	3	631	572	0.663	0.420	601.391	4.564	0	624	598	0.368	0.445	605.519	4.510	0	1	625	579	 	 	 	 	 
73	4	627	568	0.663	0.420	601.391	4.517	0	619	600	0.368	0.445	605.519	4.525	0	1	625	579	 	 	 	 	 
93	5	630	573	0.663	0.420	601.391	4.513	0	623	598	0.368	0.445	605.519	4.556	0	1	625	579	 	 	 	 	 
113	6	629	553	0.663	0.420	601.391	4.476	0	621	596	0.368	0.445	605.519	4.519	0	1	625	579	 	 	 	 	 
133	7	627	549	0.663	0.420	602.700	4.454	0	619	598	0.368	0.445	604.893	4.530	0	1	625	579	 	 	 	 	 
153	8	630	564	0.663	0.420	602.700	4.442	0	624	606	0.368	0.445	604.893	4.556	0	1	625	579	 	 	 	 	 
173	9	637	562	0.663	0.420	602.700	4.490	0	628	594	0.368	0.445	604.893	4.519	0	1	625	579	 	 	 	 	 
193	10	627	561	0.663	0.420	602.700	4.452	0	627	607	0.368	0.445	604.893	4.521	0	1	625	579	 	 	 	 	 
213	11	622	565	0.663	0.420	602.700	4.524	0	624	578	0.368	0.445	604.893	4.484	0	1	625	579	 	 	 	 	 
233	12	623	567	0.663	0.421	600.720	4.531	0	625	575	0.369	0.446	604.020	4.453	0	1	625	579	 	 	 	 	 
253	13	616	570	0.663	0.421	600.720	4.445	0	627	592	0.369	0.446	604.020	4.399	0	1	625	579	 	 	 	 	 
273	14	623	572	0.663	0.421	600.720	4.422	0	626	592	0.369	0.446	604.020	4.400	0	1	625	579	 	 	 	 	 
293	15	634	570	0.663	0.421	600.720	4.421	0	623	588	0.369	0.446	604.020	4.412	0	1	625	579	 	 	 	 	 
313	16	628	624	0.663	0.422	600.720	4.388	0	617	664	0.369	0.447	604.020	4.494	0	 	 	 	 	 	 	 	 
333	17	635	630	0.662	0.426	600.349	4.369	0	615	674	0.370	0.450	600.962	4.483	0	 	 	 	 	 	 	 	 
353	18	647	1004	0.662	0.426	600.348	4.228	0	593	991	0.370	0.451	600.962	4.214	0	2	622	995	 	 	 	 	 
372	19	647	1009	0.662	0.427	600.348	4.238	0	596	987	0.369	0.451	600.962	4.245	0	2	622	995	 	 	 	 	 
392	20	647	1006	0.662	0.427	600.348	4.260	0	596	985	0.369	0.451	600.962	4.197	0	2	622	995	 	 	 	 	 
412	21	648	1011	0.662	0.427	600.348	4.226	0	591	986	0.369	0.451	600.962	4.138	0	2	622	995	 	 	 	 	 
432	22	648	1013	0.662	0.427	600.232	4.236	0	592	983	0.369	0.451	601.891	4.141	0	2	622	995	 	 	 	 	 
452	23	650	1008	0.662	0.427	600.232	4.174	0	591	983	0.368	0.451	601.891	4.109	0	2	622	995	 	 	 	 	 
472	24	651	1008	0.662	0.427	600.232	4.141	0	597	982	0.368	0.451	601.891	4.129	0	2	622	995	 	 	 	 	 
492	25	651	1007	0.662	0.427	600.232	4.179	0	596	977	0.368	0.451	601.891	4.058	0	2	622	995	 	 	 	 	 
512	26	650	1013	0.662	0.427	600.232	4.105	0	599	976	0.368	0.451	601.891	4.071	0	2	622	995	 	 	 	 	 
532	27	651	1011	0.662	0.427	604.787	4.123	0	602	974	0.368	0.452	602.203	4.062	0	2	622	995	 	 	 	 	 
552	28	645	1008	0.662	0.427	604.787	4.185	0	593	988	0.368	0.452	602.203	4.062	0	2	622	995	 	 	 	 	 
572	29	649	1010	0.662	0.427	604.787	4.145	0	595	977	0.368	0.452	602.203	4.059	0	2	622	995	 	 	 	 	 
592	30	653	1040	0.661	0.430	604.787	4.110	0	593	1182	0.368	0.454	602.203	4.094	0	 	 	 	 	 	 	 	 
612	31	655	1039	0.661	0.431	604.788	4.158	0	597	1187	0.368	0.455	602.203	4.057	0	 	 	 	 	 	 	 	 
632	32	638	1090	0.662	0.431	597.601	4.080	0	627	1243	0.368	0.455	615.094	4.147	0	 	 	 	 	 	 	 	 
652	33	652	1049	0.662	0.431	597.600	4.120	0	597	1187	0.368	0.455	615.094	4.129	0	3	627	1123	 	 	 	 	 
671	34	658	1048	0.662	0.431	597.601	4.112	0	595	1190	0.369	0.455	615.094	4.118	0	3	627	1123	 	 	 	 	 
691	35	651	1051	0.662	0.432	597.600	4.138	0	595	1191	0.369	0.455	615.094	4.121	0	3	627	1123	 	 	 	 	 
711	36	657	1050	0.663	0.432	597.601	4.095	0	596	1194	0.369	0.456	615.094	4.127	0	3	627	1123	 	 	 	 	 
731	37	659	1050	0.663	0.432	598.855	4.104	0	615	1232	0.369	0.456	612.880	4.108	0	3	627	1123	 	 	 	 	 
751	38	655	1046	0.664	0.433	598.855	4.154	0	595	1190	0.370	0.456	612.880	4.130	0	3	627	1123	 	 	 	 	 
771	39	656	1050	0.664	0.433	598.855	4.137	0	597	1191	0.370	0.456	612.880	4.151	0	3	627	1123	 	 	 	 	 
791	40	632	1053	0.665	0.434	598.853	4.064	0	535	1231	0.372	0.456	612.879	4.173	0	 	 	 	 	 	 	 	 
811	41	296	1092	0.668	0.434	598.850	3.978	0	315	1206	0.375	0.456	612.876	4.226	0	 	 	 	 	 	 	 	 
831	42	247	1107	0.669	0.434	596.002	3.919	0	289	1215	0.376	0.457	596.004	4.138	0	 	 	 	 	 	 	 	 
851	43	304	1113	0.670	0.434	596.003	4.096	0	294	1209	0.376	0.456	596.004	4.082	0	4	300	1157	 	 	 	 	 
871	44	308	1084	0.670	0.435	596.003	4.113	0	310	1200	0.376	0.456	596.004	4.125	0	4	300	1157	 	 	 	 	 
891	45	299	1108	0.671	0.435	596.003	4.109	0	306	1210	0.377	0.457	596.004	4.114	0	4	300	1157	 	 	 	 	 
911	46	329	1119	0.671	0.435	596.003	4.139	0	292	1203	0.377	0.457	596.004	4.123	0	4	300	1157	 	 	 	 	 
930	47	330	1111	0.672	0.436	596.450	4.153	0	287	1200	0.378	0.457	607.188	4.220	0	4	300	1157	 	 	 	 	 
950	48	286	1116	0.673	0.436	596.449	4.180	0	292	1212	0.379	0.457	607.188	4.244	0	4	300	1157	 	 	 	 	 
970	49	301	1098	0.673	0.436	596.450	4.137	0	302	1212	0.379	0.456	607.188	4.288	0	4	300	1157	 	 	 	 	 
990	50	300	1100	0.674	0.436	596.449	4.085	0	288	1211	0.379	0.456	607.188	4.305	0	4	300	1157	 	 	 	 	 
1010	51	287	1122	0.674	0.436	596.449	4.154	0	299	1201	0.380	0.456	607.188	4.334	0	4	300	1157	 	 	 	 	 
1030	52	294	1114	0.675	0.436	596.364	4.117	0	302	1200	0.380	0.456	605.777	4.358	0	4	300	1157	 	 	 	 	 
1050	53	320	1104	0.675	0.437	596.364	4.258	0	293	1213	0.381	0.456	605.777	4.390	0	4	300	1157	 	 	 	 	 
1070	54	280	1115	0.675	0.437	596.364	4.315	0	297	1202	0.381	0.456	605.777	4.352	0	4	300	1157	 	 	 	 	 
1090	55	310	1106	0.676	0.437	596.364	4.292	0	322	1176	0.381	0.456	605.778	4.425	0	5	318	1139	 	 	 	 	 
1110	56	329	1105	0.676	0.437	596.364	4.325	0	313	1179	0.381	0.456	605.778	4.430	0	5	318	1139	 	 	 	 	 
1130	57	315	1109	0.676	0.437	598.364	4.367	0	324	1164	0.382	0.456	604.195	4.422	0	5	318	1139	 	 	 	 	 
1150	58	327	1110	0.676	0.437	598.364	4.349	0	308	1183	0.382	0.456	604.194	4.454	0	5	318	1139	 	 	 	 	 
1170	59	316	1104	0.676	0.437	598.364	4.385	0	318	1162	0.382	0.456	604.195	4.486	0	5	318	1139	 	 	 	 	 
1190	60	329	1098	0.676	0.437	598.364	4.354	0	320	1173	0.382	0.456	604.195	4.468	0	5	318	1139	 	 	 	 	 
1210	61	327	1105	0.677	0.437	598.364	4.421	0	313	1168	0.382	0.456	604.195	4.480	0	5	318	1139	 	 	 	 	 
1229	62	316	1099	0.676	0.437	606.680	4.497	0	318	1159	0.382	0.456	605.667	4.505	0	5	318	1139	 	 	 	 	 
1249	63	310	1101	0.676	0.436	606.680	4.466	0	325	1183	0.382	0.456	605.667	4.550	0	5	318	1139	 	 	 	 	 
1269	64	300	1112	0.676	0.436	606.680	4.556	0	320	1191	0.382	0.455	605.667	4.522	0	5	318	1139	 	 	 	 	 
1289	65	620	1051	0.675	0.436	606.682	4.668	0	450	1206	0.380	0.455	605.669	4.568	0	 	 	 	 	 	 	 	 
1309	66	655	1052	0.672	0.436	606.684	4.632	0	599	1191	0.378	0.456	605.671	4.648	0	 	 	 	 	 	 	 	 
1329	67	681	1094	0.672	0.436	595.213	4.634	0	610	1193	0.378	0.456	605.658	4.654	0	 	 	 	 	 	 	 	 
1349	68	649	1054	0.672	0.436	595.212	4.539	0	597	1190	0.378	0.456	605.657	4.637	0	 	 	 	 	 	 	 	 
1369	69	626	1106	0.672	0.436	595.212	4.578	0	596	1193	0.377	0.456	605.657	4.621	0	6	612	1158	 	 	 	 	 
1389	70	631	1110	0.672	0.436	595.212	4.580	0	598	1195	0.377	0.456	605.657	4.601	0	6	612	1158	 	 	 	 	 
1409	71	616	1108	0.671	0.436	595.212	4.591	0	599	1193	0.377	0.457	605.657	4.619	0	6	612	1158	 	 	 	 	 
1429	72	633	1116	0.671	0.436	595.307	4.616	0	599	1195	0.377	0.457	606.582	4.611	0	6	612	1158	 	 	 	 	 
1449	73	617	1130	0.671	0.436	595.307	4.624	0	599	1195	0.376	0.457	606.582	4.723	0	6	612	1158	 	 	 	 	 
1469	74	632	1117	0.671	0.436	595.307	4.644	0	599	1195	0.376	0.456	606.582	4.715	0	6	612	1158	 	 	 	 	 
1489	75	625	1139	0.671	0.436	595.307	4.658	0	599	1195	0.376	0.456	606.582	4.761	0	6	612	1158	 	 	 	 	 
1509	76	628	1132	0.671	0.436	595.307	4.690	0	600	1194	0.376	0.456	606.582	4.780	0	6	612	1158	 	 	 	 	 
1529	77	634	1131	0.671	0.436	595.879	4.714	0	600	1194	0.376	0.456	605.722	4.785	0	6	612	1158	 	 	 	 	 
1548	78	647	1054	0.671	0.436	595.878	4.732	0	598	1202	0.377	0.456	605.722	4.788	0	 	 	 	 	 	 	 	 
1568	79	372	1088	0.673	0.435	595.875	4.726	0	375	1158	0.379	0.456	605.719	4.802	0	 	 	 	 	 	 	 	 
1588	80	333	1091	0.674	0.435	595.875	4.740	0	338	1148	0.380	0.455	605.718	4.763	0	 	 	 	 	 	 	 	 
1608	81	329	1087	0.674	0.435	595.875	4.733	0	305	1161	0.379	0.455	605.718	4.853	0	 	 	 	 	 	 	 	 
1628	82	189	1084	0.674	0.435	595.645	4.732	0	161	1133	0.379	0.456	602.713	4.832	0	 	 	 	 	 	 	 	 
1648	83	325	1101	0.674	0.435	595.647	4.765	0	323	1137	0.379	0.456	602.715	4.789	0	7	325	1125	 	 	 	 	 
1668	84	325	1095	0.674	0.435	595.647	4.771	0	325	1144	0.379	0.456	602.715	4.813	0	7	325	1125	 	 	 	 	 
1688	85	324	1090	0.674	0.436	595.646	4.804	0	319	1140	0.379	0.456	602.715	4.831	0	7	325	1125	 	 	 	 	 
1708	86	336	1114	0.674	0.436	595.647	4.868	0	318	1151	0.379	0.456	602.715	4.842	0	7	325	1125	 	 	 	 	 
1728	87	340	1110	0.674	0.435	592.777	4.865	0	320	1155	0.380	0.456	599.908	4.841	0	7	325	1125	 	 	 	 	 
1748	88	322	1119	0.675	0.435	592.776	4.860	0	322	1157	0.380	0.455	599.908	4.860	0	7	325	1125	 	 	 	 	 
1768	89	327	1091	0.675	0.435	592.776	4.839	0	325	1142	0.380	0.455	599.908	4.889	0	7	325	1125	 	 	 	 	 
1788	90	315	1104	0.675	0.435	592.776	4.872	0	340	1148	0.380	0.455	599.909	4.879	0	7	325	1125	 	 	 	 	 
1808	91	625	1055	0.673	0.436	592.779	4.962	0	532	1178	0.378	0.455	599.911	4.979	0	 	 	 	 	 	 	 	 
1828	92	628	1051	0.669	0.436	598.657	5.016	0	554	1174	0.375	0.456	603.574	5.030	0	 	 	 	 	 	 	 	 
1847	93	806	1039	0.669	0.436	598.661	5.087	0	829	1168	0.375	0.456	603.578	4.980	0	 	 	 	 	 	 	 	 
1867	94	839	1064	0.669	0.436	598.662	5.152	0	869	1152	0.375	0.456	603.578	4.986	0	 	 	 	 	 	 	 	 
1874	 	 	 	 	 	 	 	5	 	 	 	 	 	 	5	 	 	 	LMouseButton	1	-1058	279	
