RecordingTimestamp	GazePointIndex	GazePointXLeft	GazePointYLeft	CamX(L)	CamY(L)	DistanceLeft	Pupil(L)	Validity(L)	GazePointXRight	GazePointYRight	CamX(R)	CamY(R)	DistanceRight	Pupil(R)	Validity(R)	Fixation	GazePointX	GazePointY	Event	EventKey	Data 1	Data 2	Description
1782	90	949	553	0.667	0.223	670.289	4.533	0	1029	549	0.389	0.226	662.684	4.222	0	 	 	 	 	 	 	 	 
1802	91	986	559	0.667	0.218	670.289	4.483	0	1018	549	0.39	0.221	662.684	4.148	0	 	 	 	 	 	 	 	 
1822	92	1077	649	0.667	0.214	675.98	4.482	0	1129	655	0.39	0.217	669.514	4.1	0	 	 	 	 	 	 	 	 
1842	93	975	583	0.667	0.209	675.979	4.579	0	1036	579	0.391	0.213	669.513	4.144	0	8	999	571	 	 	 	 	 
1862	94	965	576	0.668	0.206	675.979	4.594	0	1022	583	0.392	0.209	669.513	4.211	0	8	999	571	 	 	 	 	 
1882	95	970	588	0.668	0.203	675.979	4.62	0	1021	560	0.393	0.207	669.513	4.161	0	8	999	571	 	 	 	 	 
1902	96	985	569	0.669	0.202	675.979	4.617	0	1005	602	0.394	0.205	669.513	4.137	0	8	999	571	 	 	 	 	 
1922	97	994	546	0.67	0.201	688.147	4.715	0	1001	590	0.395	0.204	675.358	4.193	0	8	999	571	 	 	 	 	 
1942	98	999	551	0.671	0.2	688.147	4.712	0	1028	554	0.396	0.203	675.358	4.261	0	8	999	571	 	 	 	 	 
1962	99	975	586	0.672	0.2	688.147	4.671	0	1028	596	0.398	0.202	675.358	4.269	0	 	 	 	 	 	 	 	 
1982	100	1003	579	0.673	0.2	688.147	4.685	0	1021	600	0.399	0.202	675.358	4.258	0	 	 	 	 	 	 	 	 
2002	101	983	588	0.675	0.2	688.147	4.734	0	1009	602	0.401	0.201	675.358	4.277	0	 	 	 	 	 	 	 	 
2022	102	984	596	0.676	0.2	694.443	4.761	0	1009	622	0.403	0.201	679.308	4.303	0	 	 	 	 	 	 	 	 
2042	103	950	593	0.678	0.201	694.442	4.824	0	1021	589	0.405	0.202	679.308	4.389	0	 	 	 	 	 	 	 	 
2062	104	760	842	0.682	0.205	694.44	4.94	0	687	1223	0.409	0.205	679.306	4.5	0	 	 	 	 	 	 	 	 
2081	105	739	890	0.684	0.207	694.44	4.877	0	677	1232	0.412	0.207	679.305	4.415	0	 	 	 	 	 	 	 	 
2101	106	733	889	0.686	0.208	694.44	4.914	0	677	1234	0.413	0.207	679.305	4.437	0	 	 	 	 	 	 	 	 
2121	107	591	1146	0.688	0.209	691.67	4.945	0	660	1255	0.414	0.207	677.136	4.488	0	 	 	 	 	 	 	 	 
2141	108	698	885	0.689	0.21	691.671	4.817	0	676	1234	0.415	0.208	677.138	4.399	0	9	697	1065	 	 	 	 	 
2161	109	713	885	0.69	0.211	691.671	4.883	0	679	1236	0.416	0.208	677.138	4.399	0	9	697	1065	 	 	 	 	 
