RecordingTimestamp	GazePointIndex	GazePointXLeft	GazePointYLeft	CamX(L)	CamY(L)	DistanceLeft	Pupil(L)	Validity(L)	GazePointXRight	GazePointYRight	CamX(R)	CamY(R)	DistanceRight	Pupil(R)	Validity(R)	Fixation	GazePointX	GazePointY	Event	EventKey	Data 1	Data 2	Description
18	1	644	308	0.749	0.282	605.956	4.681	0	644	313	0.430	0.311	607.920	4.508	0	1	643	308	 	 	 	 	 
38	2	649	310	0.750	0.282	606.776	4.689	0	646	313	0.431	0.311	609.316	4.494	0	1	643	308	 	 	 	 	 
57	3	636	292	0.751	0.282	606.775	4.707	0	640	290	0.432	0.311	609.316	4.490	0	1	643	308	 	 	 	 	 
77	4	646	301	0.751	0.282	606.776	4.625	0	643	297	0.433	0.310	609.316	4.498	0	1	643	308	 	 	 	 	 
97	5	644	323	0.752	0.282	606.776	4.692	0	643	304	0.433	0.310	609.316	4.491	0	1	643	308	 	 	 	 	 
117	6	648	324	0.753	0.282	606.776	4.648	0	638	307	0.434	0.309	609.316	4.462	0	1	643	308	 	 	 	 	 
137	7	653	338	0.753	0.283	606.328	4.616	0	639	311	0.434	0.309	610.321	4.469	0	1	643	308	 	 	 	 	 
157	8	648	307	0.754	0.283	606.328	4.677	0	644	306	0.435	0.309	610.321	4.456	0	1	643	308	 	 	 	 	 
177	9	646	324	0.754	0.283	606.328	4.631	0	649	291	0.435	0.309	610.321	4.499	0	1	643	308	 	 	 	 	 
197	10	646	328	0.754	0.283	606.328	4.675	0	644	299	0.436	0.309	610.321	4.469	0	1	643	308	 	 	 	 	 
217	11	647	324	0.755	0.283	606.328	4.615	0	643	301	0.436	0.308	610.321	4.434	0	1	643	308	 	 	 	 	 
237	12	646	334	0.755	0.284	606.702	4.601	0	644	298	0.436	0.308	609.071	4.437	0	1	643	308	 	 	 	 	 
257	13	641	315	0.755	0.284	606.702	4.653	0	643	301	0.437	0.308	609.071	4.410	0	1	643	308	 	 	 	 	 
277	14	639	311	0.756	0.284	606.702	4.654	0	648	304	0.437	0.308	609.071	4.401	0	1	643	308	 	 	 	 	 
297	15	642	317	0.756	0.285	606.702	4.619	0	644	306	0.437	0.308	609.071	4.358	0	1	643	308	 	 	 	 	 
317	16	652	318	0.757	0.285	606.702	4.612	0	645	312	0.438	0.309	609.071	4.412	0	1	643	308	 	 	 	 	 
