RecordingTimestamp	GazePointIndex	GazePointXLeft	GazePointYLeft	CamX(L)	CamY(L)	DistanceLeft	Pupil(L)	Validity(L)	GazePointXRight	GazePointYRight	CamX(R)	CamY(R)	DistanceRight	Pupil(R)	Validity(R)	Fixation	GazePointX	GazePointY	Event	EventKey	Data 1	Data 2	Description
15	1	598	467	0.682	0.486	596.340	5.354	0	613	461	0.401	0.522	596.070	5.161	0	1	603	458	 	 	 	 	 
35	2	595	465	0.681	0.486	596.340	5.311	0	621	465	0.400	0.524	596.070	5.086	0	1	603	458	 	 	 	 	 
55	3	593	466	0.679	0.486	596.340	5.253	0	609	458	0.398	0.525	596.070	5.081	0	1	603	458	 	 	 	 	 
75	4	590	466	0.678	0.487	596.953	5.199	0	609	449	0.397	0.526	598.499	5.056	0	1	603	458	 	 	 	 	 
95	5	602	460	0.677	0.487	596.954	5.187	0	611	451	0.396	0.526	598.499	4.982	0	1	603	458	 	 	 	 	 
115	6	595	468	0.675	0.487	596.954	5.137	0	613	451	0.395	0.527	598.499	4.978	0	1	603	458	 	 	 	 	 
135	7	591	462	0.674	0.487	596.953	5.139	0	621	464	0.394	0.528	598.499	4.928	0	1	603	458	 	 	 	 	 
155	8	601	464	0.674	0.488	596.954	5.109	0	604	442	0.393	0.528	598.499	4.891	0	1	603	458	 	 	 	 	 
175	9	597	463	0.673	0.488	598.546	5.091	0	606	444	0.393	0.528	598.311	4.868	0	1	603	458	 	 	 	 	 
195	10	603	466	0.672	0.488	598.546	5.062	0	616	450	0.392	0.529	598.311	4.864	0	1	603	458	 	 	 	 	 
215	11	599	460	0.672	0.488	598.546	5.024	0	607	443	0.392	0.529	598.311	4.856	0	1	603	458	 	 	 	 	 
235	12	600	456	0.671	0.489	598.546	5.005	0	608	452	0.391	0.529	598.311	4.828	0	1	603	458	 	 	 	 	 
255	13	593	457	0.670	0.489	598.546	5.002	0	613	466	0.390	0.529	598.311	4.771	0	1	603	458	 	 	 	 	 
274	14	591	454	0.669	0.489	597.963	4.968	0	608	466	0.389	0.530	598.288	4.752	0	1	603	458	 	 	 	 	 
294	15	665	492	0.669	0.488	597.964	4.936	0	685	504	0.389	0.530	598.289	4.744	0	2	675	489	 	 	 	 	 
314	16	664	496	0.669	0.488	597.964	4.920	0	689	491	0.389	0.529	598.289	4.740	0	2	675	489	 	 	 	 	 
