RecordingTimestamp	GazePointIndex	GazePointXLeft	GazePointYLeft	CamX(L)	CamY(L)	DistanceLeft	Pupil(L)	Validity(L)	GazePointXRight	GazePointYRight	CamX(R)	CamY(R)	DistanceRight	Pupil(R)	Validity(R)	Fixation	GazePointX	GazePointY	Event	EventKey	Data 1	Data 2	Description
12	1	664	214	0.587	0.263	514.447	4.378	0	720	215	0.276	0.271	508.088	4.683	0	 	 	 	 	 	 	 	 
32	2	585	201	0.588	0.263	514.446	4.380	0	631	192	0.277	0.271	508.086	4.663	0	 	 	 	 	 	 	 	 
52	3	586	196	0.588	0.262	514.446	4.386	0	636	196	0.276	0.270	508.086	4.629	0	 	 	 	 	 	 	 	 
72	4	590	195	0.588	0.262	514.446	4.383	0	630	194	0.276	0.270	508.086	4.668	0	 	 	 	 	 	 	 	 
92	5	547	198	0.588	0.261	510.813	4.356	0	579	178	0.276	0.269	508.766	4.654	0	 	 	 	 	 	 	 	 
112	6	587	212	0.587	0.261	510.814	4.296	0	635	198	0.276	0.269	508.768	4.662	0	1	611	203	 	 	 	 	 
131	7	589	209	0.587	0.261	510.814	4.367	0	636	195	0.275	0.269	508.768	4.705	0	1	611	203	 	 	 	 	 
151	8	583	217	0.586	0.261	510.814	4.345	0	634	189	0.274	0.269	508.768	4.699	0	1	611	203	 	 	 	 	 
171	9	589	212	0.586	0.262	510.814	4.361	0	636	187	0.274	0.269	508.768	4.692	0	1	611	203	 	 	 	 	 
191	10	588	210	0.585	0.262	511.725	4.404	0	636	179	0.273	0.270	509.678	4.722	0	1	611	203	 	 	 	 	 
211	11	588	215	0.585	0.262	511.725	4.332	0	630	180	0.272	0.270	509.678	4.696	0	1	611	203	 	 	 	 	 
231	12	594	246	0.584	0.263	511.725	4.349	0	635	206	0.272	0.270	509.678	4.686	0	1	611	203	 	 	 	 	 
251	13	626	432	0.582	0.264	511.725	4.297	0	648	405	0.272	0.272	509.679	4.675	0	 	 	 	 	 	 	 	 
271	14	617	522	0.581	0.264	511.725	4.311	0	648	501	0.271	0.272	509.679	4.666	0	 	 	 	 	 	 	 	 
291	15	628	603	0.581	0.264	514.786	4.330	0	657	582	0.270	0.273	513.354	4.688	0	 	 	 	 	 	 	 	 
311	16	611	505	0.581	0.264	514.786	4.318	0	640	487	0.270	0.273	513.354	4.676	0	2	628	502	 	 	 	 	 
331	17	610	510	0.581	0.265	514.786	4.307	0	642	491	0.270	0.273	513.354	4.667	0	2	628	502	 	 	 	 	 
351	18	610	513	0.581	0.265	514.786	4.325	0	646	486	0.269	0.274	513.354	4.662	0	2	628	502	 	 	 	 	 
371	19	608	514	0.581	0.266	514.786	4.323	0	643	481	0.269	0.274	513.354	4.689	0	2	628	502	 	 	 	 	 
391	20	607	517	0.581	0.266	514.999	4.324	0	645	482	0.269	0.275	513.287	4.684	0	2	628	502	 	 	 	 	 
411	21	612	507	0.581	0.266	514.999	4.376	0	645	490	0.269	0.275	513.287	4.661	0	2	628	502	 	 	 	 	 
430	22	615	515	0.581	0.266	514.999	4.388	0	646	490	0.269	0.275	513.287	4.689	0	2	628	502	 	 	 	 	 
450	23	613	509	0.581	0.265	514.999	4.370	0	645	486	0.269	0.274	513.287	4.652	0	2	628	502	 	 	 	 	 
470	24	615	516	0.580	0.265	514.999	4.392	0	643	512	0.269	0.274	513.287	4.706	0	2	628	502	 	 	 	 	 
490	25	616	515	0.580	0.265	517.178	4.412	0	644	511	0.269	0.274	514.246	4.722	0	2	628	502	 	 	 	 	 
510	26	637	556	0.580	0.266	517.179	4.398	0	673	535	0.269	0.275	514.246	4.694	0	3	657	551	 	 	 	 	 
530	27	639	558	0.580	0.266	517.179	4.359	0	673	541	0.269	0.275	514.246	4.655	0	3	657	551	 	 	 	 	 
550	28	644	557	0.581	0.267	517.179	4.379	0	674	545	0.269	0.276	514.246	4.637	0	3	657	551	 	 	 	 	 
570	29	638	566	0.581	0.268	517.179	4.309	0	671	541	0.269	0.276	514.246	4.681	0	3	657	551	 	 	 	 	 
590	30	640	564	0.581	0.268	518.593	4.299	0	671	548	0.270	0.276	513.476	4.649	0	3	657	551	 	 	 	 	 
