RecordingTimestamp	GazePointIndex	GazePointXLeft	GazePointYLeft	CamX(L)	CamY(L)	DistanceLeft	Pupil(L)	Validity(L)	GazePointXRight	GazePointYRight	CamX(R)	CamY(R)	DistanceRight	Pupil(R)	Validity(R)	Fixation	GazePointX	GazePointY	Event	EventKey	Data 1	Data 2	Description
24	1	1002	470	0.651	0.583	739.108	4.905	0	1036	482	0.403	0.577	739.968	4.599	0	 	 	 	 	 	 	 	 
44	2	1045	477	0.650	0.583	737.692	4.870	0	1082	495	0.403	0.577	735.846	4.577	0	1	1029	491	 	 	 	 	 
64	3	1017	475	0.649	0.583	737.692	4.900	0	1053	485	0.402	0.577	735.845	4.624	0	1	1029	491	 	 	 	 	 
84	4	1021	475	0.648	0.583	737.692	4.918	0	1046	495	0.401	0.577	735.845	4.661	0	1	1029	491	 	 	 	 	 
103	5	1023	499	0.647	0.582	737.692	4.926	0	1041	491	0.400	0.576	735.845	4.682	0	1	1029	491	 	 	 	 	 
123	6	1030	487	0.646	0.582	737.692	4.986	0	1037	481	0.399	0.576	735.845	4.696	0	1	1029	491	 	 	 	 	 
143	7	1033	495	0.645	0.582	737.260	5.002	0	1030	486	0.398	0.576	735.232	4.722	0	1	1029	491	 	 	 	 	 
163	8	1030	491	0.645	0.582	737.260	4.971	0	1035	505	0.397	0.576	735.232	4.769	0	1	1029	491	 	 	 	 	 
183	9	1011	490	0.644	0.582	737.260	5.012	0	1038	489	0.397	0.577	735.232	4.726	0	1	1029	491	 	 	 	 	 
203	10	1027	504	0.644	0.582	737.260	4.945	0	1024	500	0.396	0.576	735.232	4.791	0	1	1029	491	 	 	 	 	 
223	11	1018	493	0.643	0.582	737.260	5.006	0	1024	501	0.396	0.576	735.232	4.796	0	1	1029	491	 	 	 	 	 
243	12	1011	497	0.643	0.581	737.064	5.011	0	1025	490	0.396	0.576	738.149	4.811	0	1	1029	491	 	 	 	 	 
263	13	595	530	0.645	0.580	737.059	5.130	0	616	535	0.398	0.575	738.144	4.971	0	2	598	526	 	 	 	 	 
283	14	617	540	0.645	0.579	737.059	5.060	0	617	530	0.398	0.574	738.144	4.939	0	2	598	526	 	 	 	 	 
303	15	593	533	0.645	0.579	737.059	5.065	0	605	520	0.398	0.573	738.144	4.952	0	2	598	526	 	 	 	 	 
323	16	614	529	0.644	0.578	737.059	5.164	0	598	531	0.397	0.573	738.144	4.967	0	2	598	526	 	 	 	 	 
343	17	621	530	0.643	0.577	738.277	5.141	0	594	517	0.396	0.572	743.563	4.989	0	2	598	526	 	 	 	 	 
363	18	588	535	0.642	0.577	738.277	5.095	0	604	519	0.395	0.572	743.563	5.012	0	2	598	526	 	 	 	 	 
383	19	599	530	0.641	0.577	738.277	5.104	0	600	516	0.394	0.572	743.563	4.998	0	2	598	526	 	 	 	 	 
403	20	598	537	0.639	0.577	738.277	5.093	0	598	516	0.393	0.572	743.563	4.965	0	2	598	526	 	 	 	 	 
422	21	587	532	0.638	0.576	738.277	5.113	0	588	521	0.391	0.572	743.563	5.044	0	2	598	526	 	 	 	 	 
442	22	593	532	0.637	0.576	737.453	5.110	0	585	518	0.390	0.572	744.643	5.038	0	2	598	526	 	 	 	 	 
462	23	586	524	0.636	0.576	737.453	5.165	0	604	518	0.389	0.573	744.644	4.961	0	2	598	526	 	 	 	 	 
482	24	598	534	0.635	0.576	737.454	5.186	0	591	529	0.389	0.572	744.643	4.989	0	2	598	526	 	 	 	 	 
502	25	594	524	0.635	0.576	737.453	5.171	0	599	521	0.388	0.573	744.644	5.009	0	2	598	526	 	 	 	 	 
522	26	1081	801	0.630	0.578	737.459	5.170	0	1091	846	0.384	0.575	744.649	5.038	0	 	 	 	 	 	 	 	 
542	27	1112	842	0.624	0.580	718.267	5.047	0	1071	904	0.379	0.577	705.919	4.808	0	 	 	 	 	 	 	 	 
562	28	2359	1540	0.616	0.580	718.276	5.048	0	1649	1549	0.370	0.579	705.924	4.803	0	 	 	 	 	 	 	 	 
582	29	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	 	 	 	 	 	 	 	 
602	30	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	 	 	 	 	 	 	 	 
622	31	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	 	 	 	 	 	 	 	 
642	32	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	 	 	 	 	 	 	 	 
662	33	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	 	 	 	 	 	 	 	 
681	34	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	 	 	 	 	 	 	 	 
701	35	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	 	 	 	 	 	 	 	 
721	36	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	 	 	 	 	 	 	 	 
741	37	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	 	 	 	 	 	 	 	 
761	38	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	 	 	 	 	 	 	 	 
781	39	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	 	 	 	 	 	 	 	 
801	40	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	 	 	 	 	 	 	 	 
821	41	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	 	 	 	 	 	 	 	 
841	42	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	 	 	 	 	 	 	 	 
861	43	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	 	 	 	 	 	 	 	 
