RecordingTimestamp	GazePointIndex	GazePointX	GazePointY	DistanceLeft	DistanceRight	
1512	453	881	136	537.81	537.81	
1515	454	882	132	537.84	537.84	
1518	455	882	136	537.82	537.82	
1522	456	884	138	537.81	537.81	
1525	457	883	134	537.81	537.81	
1529	458	882	138	537.80	537.80	
1532	459	884	134	537.86	537.86	
1535	460	886	136	537.78	537.78	
1539	461	883	136	537.75	537.75	
1542	462	883	138	537.75	537.75	
1545	463	883	136	537.69	537.69	
1548	464	883	139	537.68	537.68	
1552	465	883	136	537.73	537.73	
1555	466	883	140	537.69	537.69	
1558	467	883	137	537.72	537.72	
1562	468	884	136	537.71	537.71	
1565	469	885	138	537.70	537.70	
1569	470	882	136	537.62	537.62	
1572	471	884	136	537.62	537.62	
1575	472	884	137	537.63	537.63	
1578	473	886	138	537.70	537.70	
1582	474	882	137	537.70	537.70	
1585	475	885	134	537.70	537.70	
1588	476	885	138	537.69	537.69	
1592	477	885	138	537.61	537.61	
1595	478	884	138	537.61	537.61	
1599	479	885	139	537.61	537.61	
1602	480	886	136	537.65	537.65	
1605	481	880	139	537.59	537.59	
1609	482	878	135	537.63	537.63	
1612	483	881	134	537.65	537.65	
1615	484	878	138	537.60	537.60	
1618	485	884	136	537.55	537.55	
1622	486	883	137	537.61	537.61	
1625	487	882	138	537.62	537.62	
1628	488	883	137	537.62	537.62	
1632	489	882	135	537.57	537.57	
1635	490	880	136	537.55	537.55	
1639	491	884	135	537.49	537.49	
1642	492	878	135	537.38	537.38	
1645	493	880	136	537.42	537.42	
1648	494	880	137	537.45	537.45	
1652	495	880	134	537.41	537.41	
1655	496	880	136	537.51	537.51	
1658	497	883	137	537.45	537.45	
1662	498	881	137	537.45	537.45	
1665	499	883	135	537.35	537.35	
1669	500	879	134	537.29	537.29	
1672	501	879	139	537.27	537.27	
1675	502	879	135	537.26	537.26	
1678	503	879	137	537.34	537.34	
1682	504	880	134	537.32	537.32	
1685	505	882	138	537.33	537.33	
1688	506	880	136	537.33	537.33	
1692	507	880	135	537.25	537.25	
1695	508	877	135	537.21	537.21	
1699	509	878	138	537.25	537.25	
1702	510	880	134	537.20	537.20	
1705	511	878	132	537.25	537.25	
1708	512	884	136	537.23	537.23	
1712	513	880	138	537.19	537.19	
1715	514	883	138	537.30	537.30	
1718	515	879	138	537.23	537.23	
1722	516	881	132	537.22	537.22	
1725	517	882	134	537.16	537.16	
1728	518	885	131	537.22	537.22	
1732	519	883	134	537.24	537.24	
1735	520	882	135	537.24	537.24	
1739	521	883	135	537.27	537.27	
1742	522	879	135	537.18	537.18	
1745	523	878	136	537.15	537.15	
1748	524	877	134	537.13	537.13	
1752	525	881	137	537.18	537.18	
1755	526	883	134	537.22	537.22	
1758	527	882	134	537.16	537.16	
1762	528	882	136	537.16	537.16	
1765	529	879	132	537.14	537.14	
1769	530	884	134	537.14	537.14	
1772	531	880	136	537.09	537.09	
1775	532	881	136	537.04	537.04	
1778	533	884	132	537.12	537.12	
1782	534	886	131	537.10	537.10	
1785	535	877	134	537.10	537.10	
1788	536	878	132	537.05	537.05	
1792	537	879	133	537.04	537.04	
1795	538	881	135	537.05	537.05	
1798	539	880	132	537.08	537.08	
1802	540	883	136	537.17	537.17	
1805	541	881	135	537.12	537.12	
1808	542	876	132	537.07	537.07	
1812	543	879	134	537.06	537.06	
1815	544	878	135	537.00	537.00	
1818	545	881	138	536.95	536.95	
1822	546	880	134	536.99	536.99	
1825	547	881	134	537.06	537.06	
1828	548	880	135	537.02	537.02	
1832	549	880	137	537.03	537.03	
1835	550	880	133	537.05	537.05	
1839	551	877	131	536.98	536.98	
1842	552	877	132	536.94	536.94	
1845	553	878	132	536.94	536.94	
1848	554	885	139	537.00	537.00	
1852	555	880	132	537.13	537.13	
1855	556	884	134	536.98	536.98	
1858	557	880	136	536.93	536.93	
1862	558	877	137	537.02	537.02	
1865	559	880	134	536.95	536.95	
1868	560	881	133	536.98	536.98	
1872	561	879	133	536.97	536.97	
1875	562	879	138	536.95	536.95	
1878	563	878	136	536.98	536.98	
1882	564	881	137	537.08	537.08	
1885	565	885	138	537.07	537.07	
1888	566	878	141	536.92	536.92	
1892	567	878	140	536.98	536.98	
1895	568	878	138	536.96	536.96	
1898	569	878	137	536.95	536.95	
1902	570	877	137	536.89	536.89	
1905	571	878	139	536.89	536.89	
1908	572	881	139	536.89	536.89	
1912	573	878	136	536.99	536.99	
1915	574	878	135	537.05	537.05	
1918	575	879	135	537.00	537.00	
1922	576	881	134	536.98	536.98	
1925	577	892	136	536.85	536.85	
1928	578	912	132	536.92	536.92	
1932	579	924	137	536.93	536.93	
1935	580	938	134	536.89	536.89	
1938	581	945	138	536.86	536.86	
1942	582	949	139	536.91	536.91	
1945	583	952	132	536.96	536.96	
1948	584	954	135	536.93	536.93	
1952	585	958	132	537.00	537.00	
1955	586	954	141	536.91	536.91	
1958	587	955	138	536.85	536.85	
1962	588	956	136	536.84	536.84	
1965	589	959	139	536.81	536.81	
1968	590	960	145	536.81	536.81	
1972	591	961	142	536.79	536.79	
1975	592	963	140	536.78	536.78	
1978	593	964	141	536.73	536.73	
1982	594	962	145	536.74	536.74	
1985	595	961	141	536.75	536.75	
1988	596	962	140	536.81	536.81	
1992	597	958	141	536.73	536.73	
1995	598	961	142	536.77	536.77	
1998	599	959	141	536.70	536.70	
2002	600	959	142	536.71	536.71	
2005	601	961	141	536.68	536.68	
2008	602	959	140	536.69	536.69	
2012	603	957	143	536.63	536.63	
2015	604	958	139	536.72	536.72	
2018	605	960	142	536.71	536.71	
2022	606	958	139	536.72	536.72	
2025	607	956	139	536.71	536.71	
2028	608	958	141	536.73	536.73	
2032	609	958	142	536.72	536.72	
2035	610	958	144	536.72	536.72	
2038	611	958	144	536.76	536.76	
2042	612	960	139	536.76	536.76	
2045	613	958	140	536.75	536.75	
2048	614	958	138	536.76	536.76	
2052	615	955	140	536.76	536.76	
2055	616	955	144	536.75	536.75	
2058	617	956	142	536.76	536.76	
2062	618	958	140	536.75	536.75	
2065	619	958	139	536.75	536.75	
2068	620	961	141	536.85	536.85	
2072	621	959	145	536.78	536.78	
2075	622	959	145	536.73	536.73	
2078	623	958	140	536.74	536.74	
2082	624	959	146	536.74	536.74	
2085	625	958	142	536.74	536.74	
2088	626	959	145	536.71	536.71	
2092	627	959	145	536.72	536.72	
2095	628	959	143	536.71	536.71	
2098	629	959	144	536.74	536.74	
2102	630	958	143	536.75	536.75	
2105	631	959	143	536.74	536.74	
2108	632	958	142	536.76	536.76	
2112	633	957	144	536.73	536.73	
2115	634	959	141	536.83	536.83	
2118	635	959	144	536.76	536.76	
2122	636	960	142	536.83	536.83	
2125	637	961	140	536.84	536.84	
2128	638	961	144	536.78	536.78	
2132	639	957	143	536.77	536.77	
2135	640	961	143	536.79	536.79	
2138	641	960	144	536.79	536.79	
2142	642	963	145	536.85	536.85	
2145	643	961	143	536.84	536.84	
2148	644	958	144	536.83	536.83	
2152	645	961	141	536.85	536.85	
2155	646	961	141	536.86	536.86	
2158	647	961	142	536.86	536.86	
2162	648	958	144	536.87	536.87	
2165	649	960	141	536.93	536.93	
2168	650	958	143	536.95	536.95	
2172	651	962	143	536.95	536.95	
2175	652	958	140	536.95	536.95	
2178	653	961	141	536.95	536.95	
2182	654	959	138	536.96	536.96	
2185	655	961	138	536.96	536.96	
2188	656	959	139	536.97	536.97	
2192	657	957	140	536.98	536.98	
2195	658	958	142	536.97	536.97	
2198	659	960	140	536.98	536.98	
2202	660	960	143	536.99	536.99	
2205	661	963	142	537.00	537.00	
2208	662	961	146	537.05	537.05	
2212	663	962	143	536.99	536.99	
2215	664	960	142	537.06	537.06	
2218	665	959	143	537.06	537.06	
2222	666	959	142	537.06	537.06	
2225	667	962	143	537.07	537.07	
2228	668	959	141	537.07	537.07	
2232	669	961	141	537.08	537.08	
2235	670	958	145	537.07	537.07	
2238	671	961	146	537.08	537.08	
2242	672	959	144	537.08	537.08	
2245	673	962	144	537.08	537.08	
2248	674	959	144	537.08	537.08	
2252	675	957	145	537.07	537.07	
2255	676	958	143	537.07	537.07	
2258	677	961	144	537.03	537.03	
2262	678	957	142	537.04	537.04	
2265	679	959	141	537.04	537.04	
2268	680	958	141	537.04	537.04	
2272	681	956	142	536.97	536.97	
2275	682	961	143	536.89	536.89	
2278	683	960	141	536.90	536.90	
2282	684	960	139	536.91	536.91	
2285	685	958	143	536.92	536.92	
2288	686	961	140	536.91	536.91	
2292	687	961	142	537.00	537.00	
2295	688	958	140	537.00	537.00	
2298	689	961	140	537.01	537.01	
2302	690	960	140	537.01	537.01	
2305	691	960	143	537.01	537.01	
2308	692	961	145	537.02	537.02	
2312	693	961	145	537.09	537.09	
2315	694	959	147	537.05	537.05	
2318	695	963	147	537.11	537.11	
2322	696	963	147	537.13	537.13	
2325	697	963	144	537.13	537.13	
2328	698	960	146	537.14	537.14	
2332	699	962	146	537.15	537.15	
2335	700	960	144	537.14	537.14	
2338	701	960	145	537.17	537.17	
2342	702	961	145	537.07	537.07	
2345	703	961	150	537.18	537.18	
2348	704	963	145	537.19	537.19	
2352	705	963	144	537.10	537.10	
2355	706	963	144	537.10	537.10	
2358	707	964	142	537.12	537.12	
2362	708	959	147	537.23	537.23	
2365	709	961	145	537.22	537.22	
2368	710	962	142	537.23	537.23	
2372	711	961	143	537.23	537.23	
2375	712	961	145	537.24	537.24	
2378	713	960	144	537.25	537.25	
2382	714	963	143	537.26	537.26	
2385	715	961	144	537.32	537.32	
2388	716	961	142	537.33	537.33	
2392	717	960	143	537.33	537.33	
2395	718	958	141	537.33	537.33	
2398	719	958	144	537.33	537.33	
2402	720	961	144	537.34	537.34	
2405	721	957	142	537.34	537.34	
2408	722	959	143	537.35	537.35	
2412	723	958	145	537.36	537.36	
2415	724	962	146	537.36	537.36	
2418	725	960	145	537.37	537.37	
2422	726	959	145	537.36	537.36	
2425	727	963	146	537.37	537.37	
2428	728	958	146	537.35	537.35	
2432	729	960	147	537.38	537.38	
2435	730	962	149	537.37	537.37	
2438	731	959	145	537.37	537.37	
2442	732	963	143	537.38	537.38	
2445	733	960	147	537.37	537.37	
2448	734	960	147	537.37	537.37	
2452	735	963	150	537.38	537.38	
2455	736	963	146	537.39	537.39	
2458	737	960	144	537.39	537.39	
2462	738	963	150	537.39	537.39	
2465	739	960	146	537.39	537.39	
2468	740	963	144	537.39	537.39	
2472	741	962	146	537.39	537.39	
2475	742	961	146	537.39	537.39	
2478	743	962	147	537.38	537.38	
2482	744	963	143	537.38	537.38	
2485	745	959	150	537.36	537.36	
2488	746	961	145	537.36	537.36	
2492	747	963	146	537.35	537.35	
2495	748	962	144	537.34	537.34	
2498	749	961	147	537.35	537.35	
2502	750	959	144	537.37	537.37	
2505	751	963	146	537.28	537.28	
2508	752	961	148	537.30	537.30	
2512	753	961	143	537.30	537.30	
2515	754	961	142	537.31	537.31	
2518	755	964	142	537.31	537.31	
2522	756	962	146	537.30	537.30	
2525	757	962	141	537.29	537.29	
2528	758	958	142	537.28	537.28	
2532	759	961	143	537.27	537.27	
2535	760	963	143	537.27	537.27	
2538	761	961	143	537.31	537.31	
2542	762	962	143	537.31	537.31	
2545	763	961	144	537.29	537.29	
2548	764	960	145	537.30	537.30	
2552	765	961	144	537.22	537.22	
2555	766	964	142	537.23	537.23	
2558	767	962	146	537.23	537.23	
2562	768	960	145	537.22	537.22	
2565	769	958	142	537.22	537.22	
2568	770	965	144	537.22	537.22	
2572	771	961	142	537.23	537.23	
2575	772	964	141	537.28	537.28	
2578	773	963	147	537.20	537.20	
2582	774	964	152	537.21	537.21	
2585	775	966	161	537.24	537.24	
